anio,poblacion,pib,tecnologia,energia,comida,tension,infectados,socios,contaminacion
1,1525,884.85,1.005,7050,59210,4.23,0,ninguno,43.8
2,1600,858.95,1.0101,11019,68030,4.62,0,ninguno,85.88
3,1668,843.06,1.0151,14908,76580,4.96,0,ninguno,126.75
4,1730,827.49,1.0151,18766,84958,5.25,0,ninguno,166.45
5,1787,812.9,1.0151,22623,93232,5.52,0,ninguno,205.02
6,1841,803.33,1.0151,26480,101468,5.74,0,ninguno,242.74
7,1892,793.97,1.0151,30389,109698,5.94,0,ninguno,279.61
8,1941,787.09,1.0151,34348,117958,6.11,0,ninguno,315.77
9,1989,784.76,1.0151,38357,126279,6.25,0,ninguno,351.46
10,2036,780.27,1.0151,42418,134692,6.39,0,ninguno,386.57
11,2083,777.98,1.0151,46529,143229,6.51,0,ninguno,421.21
12,2130,775.71,1.0151,50691,151919,6.63,0,ninguno,455.4
13,2177,775.5,1.0151,54955,160733,6.73,0,ninguno,489.23
14,2224,771.24,1.0151,59320,169731,6.86,0,ninguno,522.52
15,2271,774.94,1.0151,63735,178882,6.93,0,ninguno,555.65
16,2318,772.7,1.0151,68253,188217,7.04,0,ninguno,588.34
17,2366,774.29,1.0151,72871,197735,7.12,0,ninguno,620.79
18,2414,775.8,1.0151,77592,207436,7.2,0,ninguno,652.98
19,2463,775.44,1.0151,82363,217349,7.29,0,ninguno,684.84
20,2513,776.87,1.0151,87235,227474,7.37,0,ninguno,716.44
21,2563,778.27,1.0151,92209,237778,7.45,0,ninguno,747.8
22,2614,779.64,1.0151,97285,248292,7.53,0,ninguno,778.92
23,2665,780.99,1.0151,102462,259046,7.6,0,ninguno,809.79
24,2717,782.33,1.0151,107741,270008,7.68,0,ninguno,840.41
25,2770,783.67,1.0151,113172,281177,7.75,0,ninguno,870.8
26,2823,786.62,1.0151,118704,292583,7.81,0,ninguno,901.03
27,2878,787.97,1.0151,124338,304226,7.88,0,ninguno,931.03
28,2932,790.89,1.0151,130073,316102,7.95,0,ninguno,960.86
29,2988,793.81,1.0151,135910,328214,8.01,0,ninguno,990.55
30,3044,795.22,1.0151,141900,340558,8.07,0,ninguno,1020.01
31,3101,799.63,1.0151,147990,353135,8.13,0,ninguno,1049.39
32,3159,801.12,1.0151,154183,365974,8.19,50,ninguno,1078.55
