anio,poblacion,pib,tecnologia,energia,comida,tension,infectados,socios,contaminacion
1,1109,1318.88,1.0251,13450,58070,1.2,0,ninguno,65.28
2,1173,1279.65,1.0503,16781,65589,1.47,0,ninguno,127.97
3,1229,1247.41,1.0756,20090,72671,1.75,0,ninguno,188.44
4,1279,1231.65,1.101,23370,79446,1.98,0,ninguno,247.52
5,1325,1215.06,1.1265,26673,86011,2.19,0,ninguno,305.19
6,1369,1215.97,1.1521,29996,92431,2.33,0,ninguno,362.33
7,1410,1221.01,1.1778,33395,98769,2.45,0,ninguno,419.15
8,1449,1230.28,1.2036,36869,105057,2.55,0,ninguno,475.86
9,1488,1239.21,1.2295,40420,111358,2.63,0,ninguno,532.44
10,1526,1252.42,1.2555,44109,117702,2.7,0,ninguno,589.11
11,1564,1265.33,1.2816,47938,124121,2.77,0,ninguno,645.85
12,1602,1277.95,1.3078,51911,130614,2.84,0,ninguno,702.65
13,1641,1299.43,1.3341,56030,137212,2.87,0,ninguno,759.95
14,1679,1320.59,1.3605,60300,143913,2.9,0,ninguno,817.72
15,1719,1341.44,1.387,64721,150748,2.94,0,ninguno,875.94
16,1758,1357.5,1.4136,69368,157715,2.99,0,ninguno,934.38
17,1798,1382.28,1.4403,74174,164816,3.01,0,ninguno,993.46
18,1839,1406.75,1.4671,79143,172078,3.03,0,ninguno,1053.16
19,1881,1422.07,1.494,84351,179501,3.09,0,ninguno,1113.02
20,1923,1446.02,1.521,89804,187084,3.11,0,ninguno,1173.47
21,1966,1474.08,1.5481,95432,194826,3.13,0,ninguno,1234.7
22,2010,1493.16,1.5753,101315,202757,3.17,0,ninguno,1296.26
23,2055,1512.07,1.6026,107458,210875,3.22,0,ninguno,1358.15
24,2100,1543.74,1.63,113789,219149,3.22,0,ninguno,1420.98
25,2146,1566.6,1.6575,120390,227609,3.25,0,ninguno,1484.32
26,2193,1593.55,1.6851,127269,236254,3.28,0,ninguno,1548.36
27,2241,1616.13,1.7128,134430,245112,3.31,0,ninguno,1612.87
28,2289,1642.81,1.7406,141881,254153,3.34,0,ninguno,1678.06
29,2339,1665.21,1.7685,149627,263406,3.37,0,ninguno,1743.71
30,2389,1691.73,1.7965,157673,272870,3.4,0,ninguno,1810.01
31,2440,1718.19,1.8246,166027,282543,3.43,0,ninguno,1876.96
32,2492,1748.72,1.8528,174694,292425,3.44,0,ninguno,1944.75
33,2545,1775.17,1.8811,183680,302514,3.47,0,ninguno,2013.18
34,2599,1801.67,1.9095,192992,312840,3.5,0,ninguno,2082.23
35,2654,1828.25,1.938,202635,323402,3.53,0,ninguno,2151.9
36,2710,1858.94,1.9666,212615,334197,3.55,0,ninguno,2222.4
37,2766,1889.74,1.9723,222940,345225,3.58,0,ninguno,2293.72
38,2824,1894.69,1.9781,233590,356486,3.66,0,ninguno,2364.57
39,2882,1907.39,1.9839,244470,367977,3.73,0,ninguno,2435.34
40,2941,1916.2,1.9897,255580,379728,3.81,0,ninguno,2505.84
41,3001,1925.02,1.9955,267020,391709,3.88,0,ninguno,2576.07
42,3062,1933.88,2.0013,278694,403978,3.96,0,ninguno,2646.04
43,3124,1939.19,2.0072,290702,416503,4.04,0,ninguno,2715.57
44,3187,1955.33,2.0131,302946,429285,4.1,0,ninguno,2785.2
45,3250,1967.89,2.019,315528,442320,4.17,0,ninguno,2854.76
46,3315,1980.5,2.0249,328348,455640,4.23,0,ninguno,2924.24
47,3380,1989.76,2.0308,341510,469242,4.31,0,ninguno,2993.49
48,3446,2.53,2.0368,354914,483126,4.37,0,asia,3062.68
49,3513,15.39,2.0428,368662,497291,4.44,0,europa,3131.82
50,3581,31.64,2.0488,382757,511735,4.49,0,europa,3201.07
51,3650,44.74,2.0548,397201,526458,4.56,0,europa,3270.27
52,3720,54.8,2.0608,411996,541518,4.63,0,europa,3339.28
53,3791,74.51,2.0669,427040,556854,4.67,0,asia,3408.58
54,3863,91.19,2.073,442438,572495,4.73,0,africa,3478.01
55,3936,108.0,2.0791,458193,588440,4.78,0,africa,3547.57
56,4009,121.93,2.0852,474306,604716,4.84,0,africa,3617.13
57,4084,142.07,2.0913,490779,621296,4.89,0,asia,3686.99
58,4160,159.37,2.0975,507614,638205,4.94,0,europa,3757.01
59,4236,176.86,2.1037,524814,655443,4.99,0,asia,3827.2
60,4314,197.44,2.1099,542379,673010,5.03,0,africa,3897.7
61,4392,215.32,2.1161,560419,690903,5.08,0,europa,3968.38
62,4472,236.25,2.1223,578829,709152,5.13,0,africa,4039.39
63,4553,254.54,2.1286,597612,727756,5.17,0,africa,4110.59
64,4634,275.84,2.1286,616769,746712,5.22,0,asia,4182.14
65,4717,290.58,2.1286,636352,766022,5.27,0,europa,4253.7
66,4800,308.09,2.1286,656255,785681,5.32,0,africa,4325.42
67,4885,322.88,2.1286,676583,805721,5.38,0,africa,4397.15
68,4970,340.37,2.1286,697230,826109,5.43,0,asia,4469.02
69,5057,355.22,2.1286,718303,846875,5.48,0,europa,4540.92
70,5144,372.71,2.1286,739696,868047,5.53,0,africa,4612.96
71,5233,387.61,2.1286,761514,889594,5.58,0,africa,4685.01
72,5322,405.1,2.1286,783758,911514,5.63,0,africa,4757.22
73,5413,422.59,2.1286,806321,933838,5.68,0,asia,4829.56
74,5504,442.59,2.1286,829310,956562,5.72,0,asia,4902.17
75,5597,460.07,2.1286,852724,979687,5.77,0,europa,4974.93
76,5690,477.55,2.1286,876565,1003211,5.81,0,asia,5047.82
77,5785,495.01,2.1286,900831,1027163,5.86,0,europa,5120.84
78,5880,519.71,2.1286,925416,1051511,5.89,0,europa,5194.36
79,5977,539.54,2.1286,950427,1076285,5.93,0,europa,5268.12
80,6075,559.33,2.1286,975864,1101483,5.97,0,africa,5342.13
81,6173,574.36,2.1286,1001833,1127133,6.02,50,europa,5416.14
82,6272,596.38,2.1286,1028227,1153205,6.06,48,europa,5490.5
83,6372,618.32,2.1286,1055048,1179729,6.09,46,europa,5565.2
84,6473,640.19,2.1286,1082294,1206702,6.13,44,africa,5640.24
85,6575,659.7,2.1286,1109966,1234125,6.17,42,asia,5715.49
86,6679,681.4,2.1286,1138170,1261995,6.21,40,africa,5791.06
87,6784,705.25,2.1286,1166799,1290310,6.24,39,europa,5867.06
88,6890,726.77,2.1286,1195855,1319099,6.27,39,asia,5943.37
89,6997,745.98,2.1286,1225442,1348361,6.31,38,europa,6019.86
90,7105,771.65,2.1286,1255456,1378095,6.34,37,europa,6096.86
91,7214,792.86,2.1286,1286001,1408299,6.38,36,europa,6174.13
92,7324,816.09,2.1286,1316972,1439002,6.41,36,asia,6251.79
93,7435,837.05,2.1286,1348475,1470203,6.45,35,europa,6329.71
94,7547,860.0,2.1286,1380404,1501901,6.48,34,asia,6407.98
95,7660,882.8,2.1286,1412865,1534095,6.51,33,asia,6486.6
96,7773,907.54,2.1286,1445859,1566783,6.54,33,asia,6565.66
97,7888,930.04,2.1286,1479384,1599995,6.57,32,africa,6645.04
98,8004,950.32,2.1286,1513442,1633729,6.61,31,africa,6724.63
99,8121,976.56,2.1286,1547925,1667985,6.64,31,europa,6804.72
100,8239,1000.58,2.1286,1582941,1702759,6.67,30,europa,6885.2
101,8357,1024.41,2.1286,1618488,1738053,6.7,29,europa,6966.06
