anio,poblacion,pib,tecnologia,energia,comida,tension,infectados,socios,contaminacion
1,1512,1439.71,1.0251,10600,60770,2.01,0,ninguno,71.27
2,1581,1392.62,1.0503,15059,70745,2.32,0,ninguno,139.49
3,1642,1357.8,1.0756,19417,80128,2.61,0,ninguno,205.3
4,1698,1336.11,1.101,23720,89078,2.85,0,ninguno,269.39
5,1750,1324.57,1.1265,28069,97690,3.05,0,ninguno,332.26
6,1800,1316.1,1.1521,32462,106120,3.22,50,ninguno,394.09
7,1846,1318.39,1.1778,36898,114430,3.34,49,ninguno,455.41
8,1892,1324.09,1.2036,41432,122685,3.44,49,ninguno,516.39
9,1938,1329.47,1.2295,46126,130944,3.54,49,ninguno,577.04
10,1983,1345.97,1.2347,50921,139239,3.59,48,ninguno,637.89
11,2029,1343.39,1.2399,55798,147599,3.72,47,ninguno,698.01
12,2075,1337.1,1.2452,60758,156054,3.85,47,ninguno,757.22
13,2122,1330.89,1.2504,65863,164634,3.98,46,ninguno,815.53
14,2169,1331.88,1.2557,71052,173368,4.09,45,ninguno,873.3
15,2217,1332.72,1.261,76389,182255,4.19,45,ninguno,930.54
16,2265,1333.44,1.2663,81812,191295,4.3,44,ninguno,987.24
17,2315,1337.39,1.2717,87383,200517,4.39,43,ninguno,1043.56
18,2365,1337.85,1.277,93106,209919,4.5,42,ninguno,1099.35
19,2416,1338.23,1.2824,98980,219531,4.6,41,ninguno,1154.6
20,2468,1341.73,1.2878,105007,229352,4.69,41,ninguno,1209.47
21,2520,1345.07,1.2932,111189,239380,4.79,40,ninguno,1263.96
22,2573,1351.33,1.2987,117526,249616,4.87,39,ninguno,1318.21
23,2629,1354.39,1.3041,124019,260088,4.96,39,ninguno,1372.07
24,2684,1357.35,1.3096,130670,270794,5.06,39,ninguno,1425.54
25,2741,1363.15,1.3151,137480,281733,5.14,39,ninguno,1478.76
26,2798,1368.79,1.3151,144516,292874,5.22,39,ninguno,1531.72
27,2856,1365.8,1.3151,151683,304276,5.33,39,ninguno,1584.01
28,2915,1368.23,1.3151,158982,315909,5.43,39,ninguno,1635.9
29,2974,1365.12,1.3151,166478,327801,5.54,39,ninguno,1687.12
30,3034,1367.25,1.3151,174105,339952,5.63,39,ninguno,1737.92
31,3095,1366.65,1.3151,181864,352361,5.73,39,ninguno,1788.19
32,3157,1366.01,1.3151,189821,365027,5.83,39,ninguno,1837.93
33,3219,1370.25,1.3151,197909,377949,5.91,39,ninguno,1887.38
34,3283,1369.49,1.3151,206194,391156,6.0,39,ninguno,1936.29
35,3347,1371.09,1.3151,214676,404616,6.09,39,ninguno,1984.8
36,3413,1372.62,1.3151,223290,418360,6.18,39,ninguno,2032.9
37,3479,1374.12,1.3151,232101,432384,6.27,39,ninguno,2080.59
38,3546,1375.58,1.3151,241110,446690,6.35,39,ninguno,2127.87
39,3613,1377.03,1.3151,250250,461304,6.44,39,ninguno,2174.76
40,3681,1380.64,1.3151,259587,476199,6.51,39,ninguno,2221.35
41,3751,1379.97,1.3151,269121,491402,6.6,39,ninguno,2267.45
42,3821,1383.55,1.3151,278853,506910,6.68,39,ninguno,2313.26
43,3892,1387.11,1.3151,288782,522725,6.75,39,ninguno,2358.79
44,3964,1388.66,1.3151,298908,538845,6.83,39,ninguno,2403.94
45,4037,1392.25,1.3151,309232,555268,6.9,39,ninguno,2448.81
46,4111,1393.92,1.3151,319753,572024,6.97,39,ninguno,2493.32
47,4185,1401.41,1.3151,330471,589080,7.03,39,ninguno,2537.76
48,4261,1405.09,1.3151,341386,606468,7.1,39,ninguno,2581.94
49,4337,1410.67,1.3151,352499,624185,7.16,39,ninguno,2625.94
50,4415,1414.46,1.3151,363809,642231,7.23,39,ninguno,2669.7
51,4493,1418.32,1.3151,375316,660633,7.29,39,ninguno,2713.21
52,4571,1424.04,1.3151,387020,679391,7.35,39,ninguno,2756.57
53,4651,1428.06,1.3151,398987,698476,7.41,39,ninguno,2799.69
54,4732,1435.63,1.3151,411152,717915,7.47,39,ninguno,2842.76
55,4814,1441.53,1.3151,423514,737706,7.52,39,ninguno,2885.69
56,4897,1447.51,1.3151,436139,757850,7.58,39,ninguno,2928.48
57,4980,1453.58,1.3151,448961,778373,7.63,39,ninguno,2971.15
58,5065,1461.37,1.3151,462046,799247,7.68,39,ninguno,3013.77
59,5151,1469.23,1.3151,475329,820499,7.73,39,ninguno,3056.36
60,5237,1475.57,1.3151,488875,842128,7.78,39,ninguno,3098.84
61,5324,1483.58,1.3151,502617,864164,7.82,39,ninguno,3141.29
62,5412,1490.13,1.3151,516623,886575,7.87,39,ninguno,3183.64
63,5502,1499.86,1.3151,530892,909360,7.91,39,ninguno,3226.04
64,5592,1508.14,1.3151,545358,932548,7.96,39,ninguno,3268.44
65,5682,1516.51,1.3151,560087,956138,8.0,39,ninguno,3310.82
66,5775,1524.99,1.3151,575079,980129,8.04,39,ninguno,3353.2
67,5868,1535.03,1.3151,590334,1004519,8.08,39,ninguno,3395.65
68,5962,1543.7,1.3151,605853,1029338,8.12,39,ninguno,3438.11
69,6056,1552.47,1.3151,621634,1054583,8.16,39,ninguno,3480.57
70,6152,1565.63,1.3151,637612,1080226,8.19,39,ninguno,3523.27
71,6249,1576.02,1.3151,653854,1106294,8.22,39,ninguno,3566.05
72,6346,1583.69,1.3151,670424,1132815,8.27,39,ninguno,3608.78
73,6445,1595.65,1.3151,687257,1159760,8.3,39,ninguno,3651.68
74,6545,1607.68,1.3151,704354,1187126,8.33,39,ninguno,3694.74
75,6645,1619.78,1.3151,721713,1214942,8.36,39,ninguno,3737.97
76,6746,1631.97,1.3151,739335,1243208,8.38,39,ninguno,3781.37
77,6849,1642.88,1.3151,757221,1271952,8.42,39,ninguno,3824.88
78,6952,1655.21,1.3151,775435,1301144,8.45,39,ninguno,3868.57
79,7056,1667.62,1.3151,793912,1330781,8.47,39,ninguno,3912.43
80,7162,1681.4,1.3151,812652,1360894,8.5,39,ninguno,3956.53
81,7268,1692.64,1.3151,831721,1391480,8.53,39,ninguno,4000.75
82,7375,1706.54,1.3151,851053,1422538,8.55,39,ninguno,4045.22
83,7483,1720.49,1.3151,870714,1454068,8.58,39,ninguno,4089.93
84,7592,1733.23,1.3151,890638,1486098,8.6,39,ninguno,4134.83
85,7702,1747.28,1.3151,910890,1518598,8.63,39,ninguno,4179.97
86,7814,1761.38,1.3151,931471,1551596,8.65,39,ninguno,4225.36
87,7925,1775.53,1.3151,952316,1585119,8.67,39,ninguno,4270.99
88,8038,1789.72,1.3151,973489,1619139,8.69,39,ninguno,4316.87
89,8152,1803.95,1.3151,994991,1653653,8.72,39,ninguno,4363.0
90,8266,1818.21,1.3151,1016821,1688691,8.74,39,ninguno,4409.37
91,8382,1833.72,1.3151,1038915,1724252,8.76,39,ninguno,4456.05
92,8499,1849.25,1.3151,1061338,1760333,8.78,39,ninguno,4503.02
93,8616,1863.6,1.3151,1084089,1796934,8.8,39,ninguno,4550.24
94,8735,1880.35,1.3151,1107169,1834055,8.81,39,ninguno,4597.82
95,8853,1894.74,1.3151,1130578,1871723,8.84,39,ninguno,4645.63
96,8974,1911.5,1.3151,1154315,1909940,8.85,39,ninguno,4693.79
97,9095,1927.09,1.3151,1178381,1948701,8.87,39,ninguno,4742.25
98,9217,1941.51,1.3151,1202842,1988007,8.89,39,ninguno,4790.93
99,9340,1959.4,1.3151,1227632,2027856,8.91,39,ninguno,4840.01
100,9464,1976.13,1.3151,1252750,2068248,8.92,39,ninguno,4889.43
101,9589,1992.85,1.3151,1278198,2109212,8.94,39,ninguno,4939.18
102,9715,8.41,1.3151,1304039,2150745,8.96,39,america,4989.2
103,9840,26.21,1.3151,1330210,2192847,8.97,39,asia,5039.61
104,9968,2042.85,1.3151,1356709,2235549,8.99,39,africa,5090.33
105,10096,59.46,1.3151,1383603,2278817,9.0,39,africa,5141.37
106,10225,76.03,1.3151,1410825,2322682,9.02,39,america,5192.72
107,10355,93.67,1.3151,1438442,2367112,9.03,39,asia,5244.43
108,10486,111.26,1.3151,1466388,2412136,9.05,39,asia,5296.5
109,10618,128.8,1.3151,1494729,2457753,9.06,39,africa,5348.91
110,10749,145.2,1.3151,1523398,2503991,9.08,39,america,5401.6
111,10883,163.7,1.3151,1552462,2550822,9.09,39,america,5454.69
112,11017,179.98,1.3151,1581920,2598273,9.11,39,asia,5508.05
113,11152,197.27,1.3151,1611773,2646342,9.12,39,america,5561.74
114,11287,215.55,1.3151,1641954,2695030,9.13,39,asia,5615.79
115,11423,233.77,1.3151,1672530,2744336,9.15,39,america,5670.2
116,11561,250.83,1.3151,1703501,2794258,9.16,39,africa,5724.92
117,11698,267.82,1.3151,1734866,2844825,9.18,39,america,5779.93
118,11837,286.82,1.3151,1766626,2896007,9.19,39,asia,5835.32
119,11977,304.68,1.3151,1798780,2947833,9.2,39,asia,5891.05
120,12116,322.44,1.3151,1831329,3000300,9.21,39,africa,5947.1
121,12258,339.07,1.3151,1864272,3053441,9.23,39,america,6003.42
122,12398,356.62,1.3151,1897610,3107222,9.24,39,america,6060.03
123,12541,375.1,1.3151,1931342,3161644,9.25,39,america,6117.0
124,12683,393.46,1.3151,1965469,3216735,9.26,39,asia,6174.31
125,12827,410.7,1.3151,1999990,3272495,9.28,39,america,6231.89
126,12971,426.79,1.3151,2034972,3328923,9.29,39,america,6289.7
127,13116,445.81,1.3151,2070348,3386018,9.3,39,asia,6347.87
128,13262,464.7,1.3151,2106119,3443778,9.31,39,america,6406.4
129,13407,481.46,1.3151,2142284,3502234,9.33,39,africa,6465.16
130,13554,499.09,1.3151,2178910,3561356,9.34,39,africa,6524.22
131,13701,516.59,1.3151,2215930,3621171,9.35,39,america,6583.55
132,13849,534.94,1.3151,2253344,3681650,9.36,39,america,6643.19
133,13997,552.17,1.3151,2291219,3742821,9.38,39,asia,6703.09
134,14146,569.26,1.3151,2329488,3804684,9.39,39,africa,6763.24
135,14295,587.19,1.3151,2368218,3867239,9.4,39,asia,6823.67
136,14445,603.99,1.3151,2407342,3930515,9.41,39,africa,6884.33
137,14595,620.65,1.3151,2446927,3994481,9.42,39,africa,6945.21
138,14746,638.12,1.3151,2486906,4059167,9.44,39,africa,7006.35
139,14896,655.45,1.3151,2527345,4124542,9.45,39,asia,7067.73
140,15049,671.66,1.3151,2568245,4190637,9.46,39,africa,7129.3
141,15200,688.67,1.3151,2609539,4257448,9.47,39,africa,7191.09
142,15353,705.53,1.3151,2651293,4324978,9.48,39,asia,7253.11
143,15506,722.23,1.3151,2693508,4393224,9.5,39,america,7315.33
144,15659,739.71,1.3151,2736117,4462187,9.51,39,america,7377.79
145,15813,756.09,1.3151,2779187,4531866,9.52,39,america,7440.44
146,15966,772.32,1.3151,2822717,4602261,9.53,39,america,7503.26
147,16121,788.38,1.3151,2866707,4673402,9.54,39,africa,7566.25
148,16275,805.2,1.3151,2911091,4745286,9.55,39,africa,7629.45
149,16430,821.86,1.3151,2955936,4817886,9.56,39,asia,7692.84
150,16584,836.51,1.3151,3001242,4891230,9.58,39,america,7756.32
151,16740,852.83,1.3151,3047007,4965290,9.59,39,america,7819.97
152,16895,868.98,1.3151,3093233,5040092,9.6,39,africa,7883.78
153,17051,884.96,1.3151,3139853,5115638,9.61,39,asia,7947.75
154,17206,899.87,1.3151,3186934,5191926,9.62,39,asia,8011.82
155,17363,915.51,1.3151,3234475,5268959,9.63,39,america,8076.02
156,17518,930.99,1.3151,3282476,5346734,9.64,39,africa,8140.34
157,17675,945.4,1.3151,3330937,5425252,9.65,39,asia,8204.73
158,17831,960.53,1.3151,3379859,5504542,9.67,39,asia,8269.23
159,17987,974.61,1.3151,3429241,5584575,9.68,39,africa,8333.78
160,18143,989.39,1.3151,3479083,5665350,9.69,39,asia,8398.42
161,18300,1004.89,1.3151,3529386,5746869,9.7,39,africa,8463.18
162,18456,1018.48,1.3151,3580149,5829159,9.71,39,america,8527.96
163,18613,1032.76,1.3151,3631372,5912192,9.72,39,america,8592.8
164,18769,1046.88,1.3151,3683055,5995966,9.73,39,africa,8657.69
165,18926,1060.83,1.3151,3735199,6080513,9.74,39,africa,8722.63
166,19082,1074.61,1.3151,3787803,6165802,9.75,39,asia,8787.6
167,19238,1088.23,1.3151,3840867,6251864,9.76,39,africa,8852.59
168,19394,1100.84,1.3151,3894392,6338668,9.78,39,asia,8917.55
169,19550,1114.97,1.3151,3948377,6426215,9.79,39,america,8982.57
170,19705,1127.26,1.3151,4002822,6514535,9.8,39,africa,9047.54
171,19861,1141.07,1.3151,4057727,6603599,9.81,39,asia,9112.55
172,20016,1153.04,1.3151,4113093,6693436,9.82,39,africa,9177.5
173,20171,1166.52,1.3151,4168919,6784017,9.83,39,america,9242.47
174,20326,1178.18,1.3151,4225205,6875372,9.84,39,africa,9307.36
175,20481,1190.51,1.3151,4281952,6967470,9.85,39,america,9372.22
176,20635,1201.87,1.3151,4339159,7060343,9.86,39,asia,9436.99
177,20789,1214.71,1.3151,4396826,7153961,9.87,39,america,9501.75
178,20942,1227.39,1.3151,4454887,7248324,9.88,39,africa,9566.49
179,21096,1238.31,1.3151,4513409,7343464,9.89,39,america,9631.12
180,21248,1249.88,1.3151,4572392,7439349,9.9,39,africa,9695.68
181,21401,1260.51,1.3151,4631834,7535981,9.91,39,africa,9760.11
182,21552,1271.78,1.3151,4691737,7633360,9.92,39,africa,9824.47
183,21704,1282.92,1.3151,4752100,7731488,9.93,39,asia,9888.73
184,21854,1293.11,1.3151,4812923,7830363,9.94,39,america,9952.85
185,22005,1303.96,1.3151,4874207,7929988,9.95,39,america,10016.87
186,22155,1314.67,1.3151,4935951,8030332,9.96,39,america,10080.77
